City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dunedin,-45.8742,170.5036,50.81,72,100,11.99,NZ,1669944657
84,washington,47.5001,-120.5015,25.18,76,16,2.37,US,1669944426
85,balkhash,46.844,74.9804,7.41,85,20,11.18,KZ,1669944658
86,upernavik,72.7868,-56.1549,-3.41,100,30,17.29,GL,1669944659
87,gouyave,12.1646,-61.7296,77.77,83,20,13.8,GD,1669944659
88,provideniya,64.3833,-173.3,35.71,93,100,13.42,RU,1669944660
89,new braunfels,29.703,-98.1245,52.92,81,100,4.61,US,1669944450
90,bambous virieux,-20.3428,57.7575,73.22,88,75,3.44,MU,1669944660
91,jamestown,42.097,-79.2353,31.59,80,100,8.05,US,1669944197
92,fershampenuaz,53.5202,59.8117,0.36,92,100,10.13,RU,1669944661
93,kodiak,57.79,-152.4072,36.91,52,0,10.36,US,1669944372
94,margate,51.3813,1.3862,46.31,90,100,1.99,GB,1669944662
95,carnarvon,-24.8667,113.6333,75.02,62,3,11.48,AU,1669944662
96,gelemso,8.8167,40.5167,55.42,35,6,2.51,ET,1669944663
97,mangrol,21.1167,70.1167,71.31,57,0,7.74,IN,1669944663
98,krasnoselkup,65.7,82.4667,-6.36,95,100,9.73,RU,1669944664
99,sal rei,16.1833,-22.9167,73.02,66,35,14.94,CV,1669944455
100,atuona,-9.8,-139.0333,78.13,69,1,18.88,PF,1669944665
101,sambava,-14.2667,50.1667,72.91,91,37,5.17,MG,1669944665
102,steinbach,50.1667,8.5667,38.79,81,75,11.5,DE,1669944665
103,sisimiut,66.9395,-53.6735,9.57,76,100,16.69,GL,1669944666
104,san patricio,28.017,-97.5169,64.26,87,100,12.8,US,1669944666
105,bartlesville,36.7473,-95.9808,50.11,34,100,12.66,US,1669944667
106,chokurdakh,70.6333,147.9167,-1.64,97,100,10.67,RU,1669944379
107,broken hill,-31.95,141.4333,79.92,26,0,7.96,AU,1669944668
108,severodvinsk,64.5635,39.8302,17.71,91,100,4.41,RU,1669944668
109,pangnirtung,66.1451,-65.7125,3.16,79,100,10.76,CA,1669944669
110,flinders,-34.5833,150.8552,69.19,71,80,5.99,AU,1669944669
111,husavik,66.0449,-17.3389,35.96,86,72,13.42,IS,1669944670
112,puerto ayora,-0.7393,-90.3518,68.56,92,87,5.99,EC,1669944671
113,paducah,37.0834,-88.6001,37.62,59,0,3.44,US,1669944434
114,privolzhye,52.8649,48.6044,15.04,95,57,5.46,RU,1669944671
115,asosa,10.0667,34.5333,66.67,36,23,7.09,ET,1669944672
116,charleville-mezieres,49.7667,4.7167,39.78,79,100,8.1,FR,1669944672
117,sinnamary,5.3833,-52.95,77.36,86,86,9.31,GF,1669944673
118,yinchuan,38.4681,106.2731,24.82,24,6,3.11,CN,1669944673
119,tukrah,32.5341,20.5791,59.2,67,5,8.37,LY,1669944674
120,mudu,31.252,120.5118,41.13,50,98,2.66,CN,1669944674
121,ribeira grande,38.5167,-28.7,55.78,55,1,5.99,PT,1669944675
122,khatanga,71.9667,102.5,10.9,95,99,12.03,RU,1669944523
123,iqaluit,63.7506,-68.5145,10.13,84,100,19.57,CA,1669944576
124,minna,9.6139,6.5569,74.91,50,0,3.44,NG,1669944676
125,point pedro,9.8167,80.2333,80.28,78,27,8.68,LK,1669944677
126,beira,-19.8436,34.8389,71.69,94,0,4.61,MZ,1669944514
127,barrow,71.2906,-156.7887,21.22,93,100,12.66,US,1669944499
128,cabinda,-5.55,12.2,77.38,91,100,7.52,AO,1669944678
129,khakhea,-24.6895,23.494,75.97,33,0,11.74,BW,1669944679
130,sahbuz,39.4072,45.5739,35.2,82,99,1.77,AZ,1669944679
131,anloga,5.7947,0.8973,80.19,80,81,8.37,GH,1669944679
132,kahului,20.8947,-156.47,80.62,76,40,16.11,US,1669944456
133,cherbourg,49.6386,-1.6147,46.11,76,100,10.36,FR,1669944624
134,victoria,22.2855,114.1577,60.24,74,100,11.99,HK,1669944536
135,longyearbyen,78.2186,15.6401,40.84,70,75,10.36,SJ,1669944681
136,chernyshevskiy,63.0128,112.4714,-15.38,92,100,4.52,RU,1669944681
137,cap malheureux,-19.9842,57.6142,73.47,75,47,8.21,MU,1669944589
138,plettenberg bay,-34.0527,23.3716,61.72,90,7,7.83,ZA,1669944682
139,bilibino,68.0546,166.4372,-0.63,100,92,0.4,RU,1669944683
140,mao,39.8885,4.2658,50.56,81,0,5.75,ES,1669944683
141,correntina,-13.3433,-44.6367,69.57,94,98,1.74,BR,1669944684
142,dikson,73.5069,80.5464,26.01,97,100,14.34,RU,1669944684
143,xiongzhou,25.1167,114.3,38.8,90,100,3.91,CN,1669944685
144,ventspils,57.3894,21.5606,28.33,93,100,4.61,LV,1669944543
145,seoul,37.5683,126.9778,27.97,33,0,2.3,KR,1669944685
146,narsaq,60.9167,-46.05,23.22,75,26,8.46,GL,1669944518
147,peterhead,57.5058,-1.7981,46.8,94,100,22.84,GB,1669944686
148,mount gambier,-37.8333,140.7667,71.19,43,5,5.97,AU,1669944687
149,saint-augustin,51.226,-58.6502,32.2,85,100,17.67,CA,1669944687
150,pokhara,28.2333,83.9833,59.65,41,2,3.04,NP,1669944688
151,nishihara,26.1842,127.7558,65.48,83,100,20.71,JP,1669944688
152,blanquefort,44.9125,-0.6366,44.82,87,100,5.75,FR,1669944689
153,monrovia,6.3005,-10.7969,77.47,85,100,6.15,LR,1669944168
154,jasper,37.2001,-94.3502,48.25,29,100,20.71,US,1669944096
155,mandera,3.9366,41.867,77.67,69,64,11.7,KE,1669944689
156,vao,-22.6667,167.4833,79.23,85,87,21.34,NC,1669944690
157,adilabad,19.6667,78.5333,66.15,67,0,1.68,IN,1669944690
158,aksarka,66.5606,67.7975,-2.67,91,5,11.36,RU,1669944691
159,yulin,22.6333,110.15,46.33,73,100,9.48,CN,1669944691
160,airai,-8.9266,125.4092,72.32,50,61,1.5,TL,1669944526
161,sao filipe,14.8961,-24.4956,73.44,65,99,13.29,CV,1669944692
162,chokwe,-24.5333,32.9833,65.07,93,0,2.64,MZ,1669944692
163,hit,33.6416,42.8251,57.88,70,0,8.55,IQ,1669944693
164,kailua,21.4022,-157.7394,80.58,67,23,4.0,US,1669944693
165,seevetal,53.4,9.9667,33.98,96,100,6.91,DE,1669944694
166,cabo san lucas,22.8909,-109.9124,78.1,78,0,5.75,MX,1669944695
167,akhmim,26.5622,31.745,53.8,42,25,6.87,EG,1669944695
168,davila,18.4726,120.5763,85.98,62,99,14.2,PH,1669944695
169,tuktoyaktuk,69.4541,-133.0374,1.4,85,100,16.11,CA,1669944696
170,tainan,22.9908,120.2133,73.18,68,40,13.8,TW,1669944551
171,champerico,14.3,-91.9167,80.65,77,93,2.86,GT,1669944519
172,valparaiso,-33.0393,-71.6273,58.64,88,0,8.05,CL,1669944697
173,torbay,47.6666,-52.7314,48.38,93,100,33.38,CA,1669944697
174,pocoes,-14.5297,-40.3653,67.05,98,100,8.88,BR,1669944698
175,kjollefjord,70.9457,27.3465,37.45,100,100,6.91,NO,1669944698
176,luderitz,-26.6481,15.1594,62.56,86,0,21.43,,1669944699
177,ust-nera,64.5667,143.2,-20.92,98,100,4.63,RU,1669944699
178,fort nelson,58.8053,-122.7002,-5.66,94,99,2.71,CA,1669944700
179,gloucester,51.8657,-2.2431,37.98,94,15,3.0,GB,1669944684
180,mareeba,-17.0,145.4333,84.43,56,70,1.97,AU,1669944701
181,mailsi,29.8003,72.1758,62.42,24,93,4.32,PK,1669944701
182,puerto del rosario,28.5004,-13.8627,67.75,77,0,9.22,ES,1669944702
183,dongsheng,39.8161,109.9776,19.33,28,96,16.04,CN,1669944702
184,kruisfontein,-34.0033,24.7314,59.88,93,34,7.99,ZA,1669944702
185,havre-saint-pierre,50.2334,-63.5986,33.8,74,100,27.63,CA,1669944703
186,vardo,70.3705,31.1107,33.78,86,100,2.3,NO,1669944490
187,batagay,67.6333,134.6333,-20.83,98,100,3.29,RU,1669944704
188,loanda,-8.8368,13.2343,77.0,88,100,6.91,AO,1669944623
189,pevek,69.7008,170.3133,7.27,94,100,8.99,RU,1669944705
190,waingapu,-9.6567,120.2641,85.08,64,71,5.7,ID,1669944705
191,abha,18.2164,42.5053,48.45,46,0,0.0,SA,1669944706
192,benguela,-12.5763,13.4055,75.67,85,70,5.06,AO,1669944706
193,kavieng,-2.5744,150.7967,83.95,70,83,5.7,PG,1669944707
194,clyde river,70.4692,-68.5914,-12.77,77,100,8.05,CA,1669944553
195,new norfolk,-42.7826,147.0587,70.72,44,23,3.0,AU,1669944707
196,nikolskoye,59.7035,30.7861,14.81,88,95,3.69,RU,1669944708
197,campbell river,50.0163,-125.2446,24.46,93,20,2.3,CA,1669944618
198,yulara,-25.2406,130.9889,89.64,11,3,5.37,AU,1669944708
199,fort-shevchenko,44.5086,50.263,30.99,38,9,11.36,KZ,1669944709
200,meihekou,42.5272,125.6753,15.64,44,5,12.91,CN,1669944709
201,yueyang,29.3333,113.0919,36.01,65,10,3.2,CN,1669944710
202,umea,63.8284,20.2597,28.33,100,100,0.0,SE,1669944710
203,arshan,46.2732,44.22,17.98,73,53,13.42,RU,1669944710
204,fairbanks,64.8378,-147.7164,2.82,84,40,4.61,US,1669944679
